Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
52	10000	22929	9439	8677	3988	6353	6740	8496	12094	17639	33731
53	1	40767	43542	43359	43701	43996	44404	41591	44261	44149	43305
53	10	38644	41615	41213	40643	42124	39345	40730	39491	39783	41085
53	100	28719	29972	28172	27424	28768	26790	26184	31185	38709	40578
53	1000	23283	16303	14112	10508	13507	13202	16080	18394	27683	37564
53	10000	21151	10638	8982	4523	6668	6413	8161	12031	20175	32362
54	1	42509	43026	42749	40999	42872	43988	39100	44248	43018	42325
54	10	39905	39119	39142	39700	39988	40445	36975	41219	41710	40390
54	100	32383	28865	27579	25351	28407	27930	25034	33109	36000	38132
54	1000	27263	14878	14836	10297	12014	12546	14753	22469	24710	33100
54	10000	25165	9667	9616	4870	6002	7360	8672	13296	18703	32950
55	1	42253	43112	41889	38361	40644	43206	44092	42655	39521	42121
55	10	40362	38579	40197	35285	38600	40390	42022	39411	38646	41256
55	100	29926	24322	26258	23429	26456	26508	26160	32541	33157	37419
55	1000	23780	14579	15571	9340	11148	12052	14860	21167	22142	35910
55	10000	22125	8346	7988	4210	5155	5657	7976	12636	16486	29807
56	1	41805	44466	42401	38863	42799	43563	43454	42804	43537	44049
56	10	37723	39965	41284	37467	42009	41726	41884	40431	42267	41360
56	100	29933	27697	30294	27692	27664	30928	29126	34144	33531	38541
56	1000	25386	18196	16832	10945	14897	12866	16843	22935	26711	35730
56	10000	23788	9912	9886	4674	5522	6501	8744	14351	16044	31065
57	1	42019	42800	41874	40428	42968	42289	41185	41206	40101	43909
57	10	41604	40394	39663	38598	39643	39302	39599	39994	40101	41378
57	100	30006	26349	28834	27264	28255	25878	27118	32457	34049	38418
57	1000	27856	15027	13738	11054	11876	13141	15811	21291	27158	35163
57	10000	23987	10200	8663	3982	6515	5866	8503	12864	17080	33419
58	1	41935	45183	44395	43058	41681	42518	42070	44112	43915	42834
58	10	39260	41433	41060	42488	35749	38134	41353	41494	41595	42828
58	100	34488	27237	29430	26545	26435	24805	28504	31294	34898	38397
58	1000	29220	14389	13590	10865	13080	12346	16503	20788	26228	34862
58	10000	27545	9336	8397	5070	5785	6464	8436	13047	20220	33501
59	1	38660	42228	38093	42589	44239	40892	43335	44251	40446	41766
59	10	37168	38349	35450	38838	40992	39001	39626	40393	37125	40008
59	100	32449	27196	26392	24465	29300	24510	25383	32766	32461	37032
59	1000	28706	15244	12497	8987	12140	12827	13645	21203	24198	35523
59	10000	25924	9688	8366	4332	5554	6942	8484	11519	16251	33183
60	1	42295	41305	43324	41214	41959	40973	41693	41243	41531	43293
